Benchmark,CPU0 Cycles,CPU0 IPC,CPU0 Instructions,CPU0 LLC Hit,CPU0 LLC Miss,CPU0 LLC Total Access,CPU1 Cycles,CPU1 IPC,CPU1 Instructions,CPU1 LLC Hit,CPU1 LLC Miss,CPU1 LLC Total Access,LLC Blocked Read,LLC Blocked Write,LLC Freed,LLC Invincible Activated,Simulation Time
625.x264_s-18B.champsimtrace_648.exchange2_s-1699B.champsimtrace.txt,68408013,2.924,200000003,119412,190297,309709,125655522,1.592,200000002,0,8055,8055,6217,349,99841,122027,08 hr 09 min 46 sec
625.x264_s-18B.champsimtrace_654.roms_s-842B.champsimtrace.txt,68426212,2.923,200000001,118396,190871,309267,147458629,1.356,200000000,1224,35908,37132,19718,568,118288,145339,08 hr 46 min 12 sec
638.imagick_s-10316B.champsimtrace_605.mcf_s-665B.champsimtrace.txt,53799327,3.718,200000003,267,23233,23500,316608091,0.6317,200000000,2787332,1578555,4365887,52806,2360,283231,361920,10 hr 14 min 17 sec
638.imagick_s-10316B.champsimtrace_607.cactuBSSN_s-2421B.champsimtrace.txt,83082300,2.407,200000000,9270,53171,62441,160702340,1.245,200000003,1109265,1609511,2718776,53413,2412,149553,243760,05 hr 30 min 32 sec
638.imagick_s-10316B.champsimtrace_619.lbm_s-4268B.champsimtrace.txt,262740157,0.7612,200000004,18012,148576,166588,929195231,0.2152,200000000,7241694,9642988,16884682,110837,105873,871785,1438900,15 hr 34 min 31 sec
638.imagick_s-10316B.champsimtrace_625.x264_s-18B.champsimtrace.txt,52383610,3.818,200000000,305,12863,13168,68940582,2.901,200000002,117495,194128,311623,5793,442,52371,62681,06 hr 03 min 36 sec
638.imagick_s-10316B.champsimtrace_638.imagick_s-10316B.champsimtrace.txt,51788020,3.862,200000002,28579,7811,36390,51788083,3.862,200000004,54577,7811,62388,0,0,0,0,07 hr 23 min 17 sec
638.imagick_s-10316B.champsimtrace_648.exchange2_s-1699B.champsimtrace.txt,51799171,3.861,200000001,63,7812,7875,124198532,1.61,200000002,0,150,150,0,0,0,0,10 hr 53 min 25 sec
638.imagick_s-10316B.champsimtrace_654.roms_s-842B.champsimtrace.txt,51829843,3.859,200000000,32,8049,8081,145006979,1.379,200000003,8342,21018,29360,0,0,21335,24599,14 hr 19 min 43 sec
648.exchange2_s-1699B.champsimtrace_605.mcf_s-665B.champsimtrace.txt,124696793,1.604,200000004,0,9962,9962,306078696,0.6534,200000000,2805718,1526749,4332467,16183,525,273134,341877,07 hr 37 min 27 sec
648.exchange2_s-1699B.champsimtrace_607.cactuBSSN_s-2421B.champsimtrace.txt,131758282,1.518,200000000,0,13141,13141,155651947,1.285,200000003,1231680,1572255,2803935,12470,574,144530,233263,04 hr 41 min 18 sec
648.exchange2_s-1699B.champsimtrace_619.lbm_s-4268B.champsimtrace.txt,142146037,1.407,200000000,0,13472,13472,902991597,0.2215,200000000,7732406,9522651,17255057,25856,25612,840728,1383939,14 hr 19 min 08 sec
648.exchange2_s-1699B.champsimtrace_625.x264_s-18B.champsimtrace.txt,125354074,1.595,200000002,0,8558,8558,68466978,2.921,200000001,119491,190234,309725,6959,325,99264,121324,06 hr 59 min 54 sec
648.exchange2_s-1699B.champsimtrace_638.imagick_s-10316B.champsimtrace.txt,123829564,1.615,200000002,0,150,150,51741811,3.865,200000002,74,7812,7886,0,0,0,0,09 hr 17 min 00 sec
648.exchange2_s-1699B.champsimtrace_648.exchange2_s-1699B.champsimtrace.txt,123829014,1.615,200000002,0,150,150,124196821,1.61,200000003,0,150,150,0,0,0,0,07 hr 16 min 40 sec
648.exchange2_s-1699B.champsimtrace_654.roms_s-842B.champsimtrace.txt,123830294,1.615,200000002,0,162,162,144766188,1.382,200000001,9141,20849,29990,2,0,1785,2300,10 hr 08 min 05 sec
654.roms_s-842B.champsimtrace_605.mcf_s-665B.champsimtrace.txt,146907057,1.361,200000002,56,40028,40084,381570506,0.5241,200000000,2686471,1696304,4382775,76231,1961,345572,495380,07 hr 51 min 40 sec
654.roms_s-842B.champsimtrace_607.cactuBSSN_s-2421B.champsimtrace.txt,158322556,1.263,200000003,40,39280,39320,157190679,1.272,200000003,1095779,1582000,2677779,28934,1015,147292,238120,04 hr 14 min 18 sec
654.roms_s-842B.champsimtrace_619.lbm_s-4268B.champsimtrace.txt,183962204,1.087,200000001,55,38536,38591,982842776,0.2035,200000000,7283941,9598299,16882240,167904,77229,919355,1534005,14 hr 27 min 11 sec
654.roms_s-842B.champsimtrace_625.x264_s-18B.champsimtrace.txt,147660215,1.354,200000002,1429,36634,38063,68512469,2.919,200000001,118424,191116,309540,20978,539,118424,145424,06 hr 48 min 26 sec
654.roms_s-842B.champsimtrace_638.imagick_s-10316B.champsimtrace.txt,145369553,1.376,200000001,8346,20995,29341,51784361,3.862,200000003,43,8060,8103,0,0,21316,24647,09 hr 56 min 58 sec
654.roms_s-842B.champsimtrace_648.exchange2_s-1699B.champsimtrace.txt,145107066,1.378,200000002,9285,20874,30159,124198317,1.61,200000002,0,151,151,8,0,1525,1987,09 hr 20 min 57 sec
654.roms_s-842B.champsimtrace_654.roms_s-842B.champsimtrace.txt,145397736,1.376,200000000,6730,21333,28063,145055812,1.379,200000002,6137,21372,27509,660,34,26943,27799,10 hr 19 min 01 sec
