Benchmark,IPC,Instructions,Cycles,Simulation Time,Blocked Read,Blocked Write,Invincible Activated,Invincible Freed,LLC LOAD Access,LLC LOAD Hit,LLC LOAD Miss,LLC PREFETCH Access,LLC PREFETCH Hit,LLC PREFETCH Miss,LLC RFO Access,LLC RFO Hit,LLC RFO Miss,LLC TOTAL Access,LLC TOTAL Hit,LLC TOTAL Miss,LLC TRANSLATION Access,LLC TRANSLATION Hit,LLC TRANSLATION Miss,LLC WRITE Access,LLC WRITE Hit,LLC WRITE Miss,cpu0_DTLB LOAD Access,cpu0_DTLB LOAD Hit,cpu0_DTLB LOAD Miss,cpu0_DTLB PREFETCH Access,cpu0_DTLB PREFETCH Hit,cpu0_DTLB PREFETCH Miss,cpu0_DTLB RFO Access,cpu0_DTLB RFO Hit,cpu0_DTLB RFO Miss,cpu0_DTLB TOTAL Access,cpu0_DTLB TOTAL Hit,cpu0_DTLB TOTAL Miss,cpu0_DTLB TRANSLATION Access,cpu0_DTLB TRANSLATION Hit,cpu0_DTLB TRANSLATION Miss,cpu0_DTLB WRITE Access,cpu0_DTLB WRITE Hit,cpu0_DTLB WRITE Miss,cpu0_ITLB LOAD Access,cpu0_ITLB LOAD Hit,cpu0_ITLB LOAD Miss,cpu0_ITLB PREFETCH Access,cpu0_ITLB PREFETCH Hit,cpu0_ITLB PREFETCH Miss,cpu0_ITLB RFO Access,cpu0_ITLB RFO Hit,cpu0_ITLB RFO Miss,cpu0_ITLB TOTAL Access,cpu0_ITLB TOTAL Hit,cpu0_ITLB TOTAL Miss,cpu0_ITLB TRANSLATION Access,cpu0_ITLB TRANSLATION Hit,cpu0_ITLB TRANSLATION Miss,cpu0_ITLB WRITE Access,cpu0_ITLB WRITE Hit,cpu0_ITLB WRITE Miss,cpu0_L1D LOAD Access,cpu0_L1D LOAD Hit,cpu0_L1D LOAD Miss,cpu0_L1D PREFETCH Access,cpu0_L1D PREFETCH Hit,cpu0_L1D PREFETCH Miss,cpu0_L1D RFO Access,cpu0_L1D RFO Hit,cpu0_L1D RFO Miss,cpu0_L1D TOTAL Access,cpu0_L1D TOTAL Hit,cpu0_L1D TOTAL Miss,cpu0_L1D TRANSLATION Access,cpu0_L1D TRANSLATION Hit,cpu0_L1D TRANSLATION Miss,cpu0_L1D WRITE Access,cpu0_L1D WRITE Hit,cpu0_L1D WRITE Miss,cpu0_L1I LOAD Access,cpu0_L1I LOAD Hit,cpu0_L1I LOAD Miss,cpu0_L1I PREFETCH Access,cpu0_L1I PREFETCH Hit,cpu0_L1I PREFETCH Miss,cpu0_L1I RFO Access,cpu0_L1I RFO Hit,cpu0_L1I RFO Miss,cpu0_L1I TOTAL Access,cpu0_L1I TOTAL Hit,cpu0_L1I TOTAL Miss,cpu0_L1I TRANSLATION Access,cpu0_L1I TRANSLATION Hit,cpu0_L1I TRANSLATION Miss,cpu0_L1I WRITE Access,cpu0_L1I WRITE Hit,cpu0_L1I WRITE Miss,cpu0_L2C LOAD Access,cpu0_L2C LOAD Hit,cpu0_L2C LOAD Miss,cpu0_L2C PREFETCH Access,cpu0_L2C PREFETCH Hit,cpu0_L2C PREFETCH Miss,cpu0_L2C RFO Access,cpu0_L2C RFO Hit,cpu0_L2C RFO Miss,cpu0_L2C TOTAL Access,cpu0_L2C TOTAL Hit,cpu0_L2C TOTAL Miss,cpu0_L2C TRANSLATION Access,cpu0_L2C TRANSLATION Hit,cpu0_L2C TRANSLATION Miss,cpu0_L2C WRITE Access,cpu0_L2C WRITE Hit,cpu0_L2C WRITE Miss,cpu0_STLB LOAD Access,cpu0_STLB LOAD Hit,cpu0_STLB LOAD Miss,cpu0_STLB PREFETCH Access,cpu0_STLB PREFETCH Hit,cpu0_STLB PREFETCH Miss,cpu0_STLB RFO Access,cpu0_STLB RFO Hit,cpu0_STLB RFO Miss,cpu0_STLB TOTAL Access,cpu0_STLB TOTAL Hit,cpu0_STLB TOTAL Miss,cpu0_STLB TRANSLATION Access,cpu0_STLB TRANSLATION Hit,cpu0_STLB TRANSLATION Miss,cpu0_STLB WRITE Access,cpu0_STLB WRITE Hit,cpu0_STLB WRITE Miss
600.perlbench_s-210B.champsimtrace.txt,2.824,200000002,70822231,05 hr 23 min 51 sec,0,0,282,279,10632,1439,9193,0,0,0,1177,91,1086,12854,2391,10463,277,93,184,768,768,0,31752455,31711315,41140,0,0,0,0,0,0,31752455,31711315,41140,0,0,0,0,0,0,1323275,1321537,1738,0,0,0,0,0,0,1323275,1321537,1738,0,0,0,0,0,0,24774765,24753102,21663,0,0,0,0,0,0,66600600,66570918,29682,633,127,506,41825202,41817689,7513,1483366,1475449,7917,0,0,0,0,0,0,1483366,1475449,7917,0,0,0,0,0,0,16503,5871,10632,0,0,0,1225,48,1177,19040,6954,12086,506,229,277,806,806,0,36746,36132,614,0,0,0,0,0,0,36746,36132,614,0,0,0,0,0,0
603.bwaves_s-3699B.champsimtrace.txt,1.895,200000001,105530568,06 hr 02 min 14 sec,0,0,30272,30248,6179,877,5302,0,0,0,25206,261,24945,49959,19683,30276,35,8,27,18539,18537,2,26124010,26122068,1942,0,0,0,0,0,0,26124010,26122068,1942,0,0,0,0,0,0,722868,722820,48,0,0,0,0,0,0,722868,722820,48,0,0,0,0,0,0,42960116,42946486,13630,0,0,0,0,0,0,50868500,50681198,187302,485,450,35,7907899,7734262,173637,828135,826741,1394,0,0,0,0,0,0,828135,826741,1394,0,0,0,0,0,0,6179,0,6179,0,0,0,25259,53,25206,54781,23361,31420,35,0,35,23308,23308,0,522,37,485,0,0,0,0,0,0,522,37,485,0,0,0,0,0,0
602.gcc_s-734B.champsimtrace.txt,0.6517,200000002,306889023,09 hr 28 min 29 sec,0,0,1306876,1283365,1691507,43008,1648499,0,0,0,2291,267,2024,1722001,52157,1669844,20626,1305,19321,7577,7577,0,35282134,35189480,92654,0,0,0,0,0,0,35282134,35189480,92654,0,0,0,0,0,0,779,674,105,0,0,0,0,0,0,779,674,105,0,0,0,0,0,0,42420783,38409443,4011340,0,0,0,0,0,0,65013698,60961348,4052350,45160,22899,22261,22547755,22529006,18749,832,308,524,0,0,0,0,0,0,832,308,524,0,0,0,0,0,0,2095922,404415,1691507,0,0,0,2495,204,2291,2134615,420191,1714424,22252,1626,20626,13946,13946,0,62847,21154,41693,0,0,0,0,0,0,62847,21154,41693,0,0,0,0,0,0
605.mcf_s-665B.champsimtrace.txt,0.5535,200000001,361318652,11 hr 25 min 59 sec,0,0,1361242,1314453,3742028,1710975,2031053,0,0,0,311980,273901,38079,4370674,2294451,2076223,15857,8767,7090,300809,300808,1,50045699,47064607,2981092,0,0,0,0,0,0,50045699,47064607,2981092,0,0,0,0,0,0,63353,62112,1241,0,0,0,0,0,0,63353,62112,1241,0,0,0,0,0,0,55877712,48849967,7027745,0,0,0,0,0,0,79877777,70873148,9004629,35693,17044,18649,23964372,22006137,1958235,69192,36404,32788,0,0,0,0,0,0,69192,36404,32788,0,0,0,0,0,0,5068978,1326949,3742029,0,0,0,701050,389068,311982,6657419,2587550,4069869,18648,2791,15857,868743,868742,1,2722019,2686510,35509,0,0,0,0,0,0,2722019,2686510,35509,0,0,0,0,0,0
607.cactuBSSN_s-2421B.champsimtrace.txt,1.268,200000002,157713328,06 hr 05 min 02 sec,0,0,897156,846927,2485590,851701,1633889,0,0,0,19400,18135,1265,2750405,1093671,1656734,31407,9832,21575,214008,214003,5,29970953,14204862,15766091,0,0,0,0,0,0,29970953,14204862,15766091,0,0,0,0,0,0,25818929,25817948,981,0,0,0,0,0,0,25818929,25817948,981,0,0,0,0,0,0,36283682,15542457,20741225,0,0,0,0,0,0,59172381,37286228,21886153,38422,519,37903,22850277,21743252,1107025,32730727,32472685,258042,0,0,0,0,0,0,32730727,32472685,258042,0,0,0,0,0,0,19485838,17000093,2485745,0,0,0,602509,583036,19473,21434139,18897510,2536629,37885,6478,31407,1307907,1307903,4,15086844,15062356,24488,0,0,0,0,0,0,15086844,15062356,24488,0,0,0,0,0,0
619.lbm_s-4268B.champsimtrace.txt,0.2609,200000000,766531068,15 hr 54 min 54 sec,0,0,4962794,4647027,2371334,4673,2366661,0,0,0,7624063,280557,7343506,16842334,7128690,9713644,7514,4099,3415,6839423,6839361,62,30110024,29675086,434938,0,0,0,0,0,0,30110024,29675086,434938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17073915,7925574,9148341,0,0,0,0,0,0,53981772,30406396,23575376,148219,100084,48135,36759638,22380738,14378900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2371369,35,2371334,0,0,0,13238902,5614839,7624063,28729896,18726946,10002950,48135,40621,7514,13071490,13071451,39,272820,124747,148073,0,0,0,0,0,0,272820,124747,148073,0,0,0,0,0,0
620.omnetpp_s-874B.champsimtrace.txt,0.5495,200000003,363962091,11 hr 04 min 30 sec,0,0,1665193,1591735,2491155,632860,1858295,0,0,0,357577,146328,211249,4585306,1779315,2805991,827375,90933,736442,909199,909194,5,47118059,42970859,4147200,0,0,0,0,0,0,47118059,42970859,4147200,0,0,0,0,0,0,14777806,14374948,402858,0,0,0,0,0,0,14777806,14374948,402858,0,0,0,0,0,0,43421026,38863614,4557412,0,0,0,0,0,0,81234814,74274205,6960609,1229558,322474,907084,36584230,35088117,1496113,17029349,16748034,281315,0,0,0,0,0,0,17029349,16748034,281315,0,0,0,0,0,0,3203074,711919,2491155,0,0,0,469691,112113,357578,5933248,2257139,3676109,906194,78819,827375,1354289,1354288,1,4049521,3166929,882592,0,0,0,0,0,0,4049521,3166929,882592,0,0,0,0,0,0
621.wrf_s-575B.champsimtrace.txt,1.943,200000001,102958719,05 hr 09 min 13 sec,0,0,69579,65613,56590,9357,47233,0,0,0,101912,9004,92908,245564,104807,140757,797,183,614,86265,86263,2,24755939,24438635,317304,0,0,0,0,0,0,24755939,24438635,317304,0,0,0,0,0,0,2736243,2736029,214,0,0,0,0,0,0,2736243,2736029,214,0,0,0,0,0,0,28705481,28521332,184149,0,0,0,0,0,0,40664026,40003512,660514,2579,689,1890,11955966,11481491,474475,3352212,2618689,733523,0,0,0,0,0,0,3352212,2618689,733523,0,0,0,0,0,0,604953,548363,56590,0,0,0,132110,30198,101912,864068,704768,159300,1480,683,797,125525,125524,1,274386,271755,2631,0,0,0,0,0,0,274386,271755,2631,0,0,0,0,0,0
623.xalancbmk_s-700B.champsimtrace.txt,1.634,200000002,122415418,06 hr 31 min 51 sec,0,0,323361,319052,508588,408014,100574,0,0,0,296293,18060,278233,873515,480698,392817,36119,22110,14009,32515,32514,1,37361394,31349328,6012066,0,0,0,0,0,0,37361394,31349328,6012066,0,0,0,0,0,0,5759947,5617996,141951,0,0,0,0,0,0,5759947,5617996,141951,0,0,0,0,0,0,48980086,35909474,13070612,0,0,0,0,0,0,62156268,47490840,14665428,304933,20652,284281,12871249,11560714,1310535,6578951,5953289,625662,0,0,0,0,0,0,6578951,5953289,625662,0,0,0,0,0,0,8156849,7648261,508588,0,0,0,333418,37125,296293,8966347,8125346,841001,284183,248064,36119,191897,191896,1,4853358,4549640,303718,0,0,0,0,0,0,4853358,4549640,303718,0,0,0,0,0,0
625.x264_s-18B.champsimtrace.txt,2.837,200000001,70495610,04 hr 47 min 41 sec,0,0,157399,152354,140744,10666,130078,0,0,0,88598,568,88030,305756,87167,218589,1072,591,481,75342,75342,0,21707441,21411185,296256,0,0,0,0,0,0,21707441,21411185,296256,0,0,0,0,0,0,2840499,2837454,3045,0,0,0,0,0,0,2840499,2837454,3045,0,0,0,0,0,0,29208937,28817533,391404,0,0,0,0,0,0,42835463,41856054,979409,3177,1686,1491,13623349,13036835,586514,3440252,1499080,1941172,0,0,0,0,0,0,3440252,1499080,1941172,0,0,0,0,0,0,1414283,1273539,140744,0,0,0,96709,8111,88598,1619127,1388713,230414,1451,379,1072,106684,106684,0,200001,196832,3169,0,0,0,0,0,0,200001,196832,3169,0,0,0,0,0,0
